,Job Title,Job link
0,"Flutter разработчик (Middle/Senior)
з/п не указана",https://kazan.hh.ru/vacancy/76025360?from=vacancy_search_list&query=flutter
1,"Разработчик Flutter
от 110 000 руб. на руки",https://kazan.hh.ru/vacancy/77017082?from=vacancy_search_list&query=flutter
2,"Flutter программист
от 30 000 до 120 000 руб. на руки",https://kazan.hh.ru/vacancy/77545826?from=vacancy_search_list&query=flutter
3,"Flutter developer / Flutter разработчик
от 120 000 до 220 000 руб. на руки",https://kazan.hh.ru/vacancy/77188663?from=vacancy_search_list&query=flutter
4,"Flutter Developer (Middle/Senior)
от 2 000 до 4 000 USD до вычета налогов",https://kazan.hh.ru/vacancy/76982510?from=vacancy_search_list&query=flutter
5,"Flutter developer / Разработчик Jun+ (Middle)
от 100 000 до 180 000 руб. на руки",https://kazan.hh.ru/vacancy/77424860?from=vacancy_search_list&query=flutter
6,"Flutter разработчик (middle+)
з/п не указана",https://kazan.hh.ru/vacancy/77521151?from=vacancy_search_list&query=flutter
7,"Flutter разработчик middle+
от 150 000 до 250 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/77509317?from=vacancy_search_list&query=flutter
8,"Старший мобильный разработчик с Flutter
з/п не указана",https://kazan.hh.ru/vacancy/77556496?from=vacancy_search_list&query=flutter
9,"Lead Flutter Developer
з/п не указана",https://kazan.hh.ru/vacancy/77333293?from=vacancy_search_list&query=flutter
10,"Middle Mobile разработчик (Flutter)
з/п не указана",https://kazan.hh.ru/vacancy/76492887?from=vacancy_search_list&query=flutter
11,"Flutter developer
от 150 000 до 180 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/77401777?from=vacancy_search_list&query=flutter
12,"Flutter разработчик Middle+/Senior
з/п не указана",https://kazan.hh.ru/vacancy/77450071?from=vacancy_search_list&query=flutter
13,"Flutter разработчик middle+
от 150 000 до 250 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/77509320?from=vacancy_search_list&query=flutter
14,"Разработчик мобильных приложений (Flutter)
з/п не указана",https://kazan.hh.ru/vacancy/77122813?from=vacancy_search_list&query=flutter
15,"Flutter разработчик middle+
от 150 000 до 250 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/77509319?from=vacancy_search_list&query=flutter
16,"Senior Flutter Developer
до 350 000 руб. на руки",https://kazan.hh.ru/vacancy/77004146?from=vacancy_search_list&query=flutter
17,"Flutter-разработчик
от 135 000 руб. на руки",https://kazan.hh.ru/vacancy/77207884?from=vacancy_search_list&query=flutter
18,"Разработчик Flutter
з/п не указана",https://kazan.hh.ru/vacancy/77322070?from=vacancy_search_list&query=flutter
19,"Senior Flutter Developer, удалённо
от 250 000 до 350 000 руб. на руки",https://kazan.hh.ru/vacancy/77442426?from=vacancy_search_list&query=flutter
20,"Senior Flutter developer
з/п не указана",https://kazan.hh.ru/vacancy/77435949?from=vacancy_search_list&query=flutter
21,"Mobile Developer (Flutter)
от 70 000 до 110 000 KGS до вычета налогов",https://kazan.hh.ru/vacancy/76442717?from=vacancy_search_list&query=flutter
22,"Flutter разработчик
от 80 000 руб. на руки",https://kazan.hh.ru/vacancy/76356370?from=vacancy_search_list&query=flutter
23,"Flutter разработчик
з/п не указана",https://kazan.hh.ru/vacancy/77134321?from=vacancy_search_list&query=flutter
24,"Flutter Developer (Middle/Senior)
от 2 000 до 4 000 USD до вычета налогов",https://kazan.hh.ru/vacancy/76982512?from=vacancy_search_list&query=flutter
25,"Senior Flutter Developer
з/п не указана",https://kazan.hh.ru/vacancy/77473199?from=vacancy_search_list&query=flutter
26,"Flutter/Dart разработчик
з/п не указана",https://kazan.hh.ru/vacancy/77326647?from=vacancy_search_list&query=flutter
27,"Flutter-разработчик
з/п не указана",https://kazan.hh.ru/vacancy/77295338?from=vacancy_search_list&query=flutter
28,"Dart/Flutter Developer
от 2 000 EUR на руки",https://kazan.hh.ru/vacancy/77199619?from=vacancy_search_list&query=flutter
29,"Flutter/Dart разработчик
з/п не указана",https://kazan.hh.ru/vacancy/77326649?from=vacancy_search_list&query=flutter
30,"Flutter-разработчик (UI-Platform)
з/п не указана",https://kazan.hh.ru/vacancy/74380267?from=vacancy_search_list&query=flutter
31,"Flutter Developer (Middle/Senior)
от 2 000 до 4 000 USD до вычета налогов",https://kazan.hh.ru/vacancy/76982511?from=vacancy_search_list&query=flutter
32,"Flutter developer
з/п не указана",https://kazan.hh.ru/vacancy/77364270?from=vacancy_search_list&query=flutter
33,"Flutter/Dart разработчик
з/п не указана",https://kazan.hh.ru/vacancy/77326646?from=vacancy_search_list&query=flutter
34,"Flutter-разработчик в Яндекс Про
з/п не указана",https://kazan.hh.ru/vacancy/76956332?from=vacancy_search_list&query=flutter
35,"Разработчик мобильных приложений (Flutter)
з/п не указана",https://kazan.hh.ru/vacancy/77122812?from=vacancy_search_list&query=flutter
36,"Разработчик мобильных приложений (Flutter)
з/п не указана",https://kazan.hh.ru/vacancy/77122811?from=vacancy_search_list&query=flutter
37,"Flutter developer / Flutter разработчик (Junior/Junior+)
от 120 000 руб. на руки",https://kazan.hh.ru/vacancy/76969179?from=vacancy_search_list&query=flutter
38,"Flutter разработчик middle+
от 150 000 до 250 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/77171026?from=vacancy_search_list&query=flutter
39,"Flutter разработчик
от 130 000 до 150 000 руб. до вычета налогов",https://kazan.hh.ru/vacancy/76777331?from=vacancy_search_list&query=flutter
40,"Middle/Senior Mobile developer Flutter/Dart (MTC Travel)
з/п не указана",https://kazan.hh.ru/vacancy/77077952?from=vacancy_search_list&query=flutter
41,"Flutter разработчик
з/п не указана",https://kazan.hh.ru/vacancy/76720250?from=vacancy_search_list&query=flutter
42,"Программист Flutter Dart Middle разработчик в компанию по изготовлению телесуфлеров, удаленно
от 100 000 до 300 000 руб. на руки",https://kazan.hh.ru/vacancy/76983735?from=vacancy_search_list&query=flutter
